"Outcome (or Indicator)","Group","Percentage","Confidence Interval","Title","Description","Year"
"Two or more hospital emergency department visits","Medium social vulnerability","5.1","3.8,  6.7","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""","2020"
"Two or more hospital emergency department visits","High social vulnerability","5.1","3.7,  6.9","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""","2020"
"Two or more hospital emergency department visits","With functioning difficulty","5","3.9,  6.2","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""","2020"
"Two or more hospital emergency department visits","Without functioning difficulty","3.8","2.9,  4.9","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""","2020"
"Receiving special education or early intervention services","Total","9.9","8.9, 10.9","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Male","12.3","10.8, 14.0","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Female","7.3","6.1,  8.6","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","0-4 years","2.8","1.9,  4.0","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","5-11 years","12.2","10.4, 14.2","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","12-17 years","12.7","11.0, 14.6","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","White only","10.5","9.3, 11.8","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Black only","10.7","7.6, 14.4","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","American Indian or Alaska Native only","999",,"Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Asian only","8.5","5.2, 12.8","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Native Hawaiian or Other Pacific Islander only","999",,"Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Black and White","999",,"Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","American Indian and Alaska Native and White","999",,"Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Hispanic","8.9","7.0, 11.2","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Non-Hispanic","10.2","9.1, 11.4","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Mexican or Mexican American","9.1","6.6, 12.1","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","White only, non-Hispanic","10.3","9.1, 11.7","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Black only, non-Hispanic","10.7","7.5, 14.7","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Other race, non-Hispanic","8.6","6.3, 11.5","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Single parent, never married","7.8","5.3, 10.9","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Single parent, ever married","16.3","12.8, 20.4","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Married parents","8.9","7.7, 10.1","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Cohabiting parents","5.8","3.0,  9.9","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","At least one related or unrelated adult (not a parent)","15.7","10.3, 22.5","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","No working parents","14.5","11.0, 18.7","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Single parent, working","10.9","8.8, 13.3","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Two parents, one working","8","6.2, 10.0","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Two parents, both working","8.8","7.4, 10.3","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Less than high school diploma","7.5","4.3, 12.0","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","High school diploma or GED","9.5","7.4, 12.1","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Some college","12.2","10.0, 14.7","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","College degree or higher","8.8","7.5, 10.2","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Less than 100% FPL","12.1","9.1, 15.7","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","100% to less than 200% FPL","10.6","8.3, 13.2","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","200% and greater FPL","9","7.9, 10.2","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Private","9","7.8, 10.2","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Medicaid or other state programs","11.5","9.5, 13.7","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Other government coverage","13.6","7.5, 22.1","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Uninsured","5.4","2.7,  9.5","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","With disability","46.1","40.5, 51.8","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Without disability","6.4","5.5,  7.4","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Large MSA","9.9","8.6, 11.4","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Small MSA","9.7","8.1, 11.6","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Not in MSA","9.9","7.3, 13.2","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Northeast","12.1","9.6, 15.1","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Midwest","10","7.8, 12.7","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","South","8.6","7.2, 10.3","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","West","10.2","8.2, 12.5","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Large central metro","8.6","6.9, 10.6","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Large fringe metro","11.4","9.4, 13.8","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Medium and small metro","9.8","8.2, 11.7","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Nonmetropolitan","9.6","7.0, 12.8","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Little to no social vulnerability","11.7","9.8, 13.8","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Low social vulnerability","9.4","7.8, 11.3","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Medium social vulnerability","10.7","8.7, 12.9","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","High social vulnerability","7.9","6.0, 10.2","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","With functioning difficulty","22.8","20.5, 25.2","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Receiving special education or early intervention services","Without functioning difficulty","2.1","1.5,  2.9","Percentage of currently receiving special education or early intervention services for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] currently have a special education or early intervention plan? (Consider special education or early intervention plans received during the past school year)""","2020"
"Two or more urgent care center or retail health clinic visits","Total","9.8","8.8, 10.9","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""","2020"
"Two or more urgent care center or retail health clinic visits","Male","9.6","8.2, 11.2","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""","2020"
"Two or more urgent care center or retail health clinic visits","Female","10.1","8.7, 11.6","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""","2020"
"Two or more urgent care center or retail health clinic visits","0-4 years","10","8.1, 12.0","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""","2020"
"Two or more urgent care center or retail health clinic visits","5-11 years","10.4","8.6, 12.3","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""","2020"
"Two or more urgent care center or retail health clinic visits","12-17 years","9.2","7.8, 10.8","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""","2020"
"Two or more urgent care center or retail health clinic visits","White only","10.7","9.5, 12.0","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""","2020"
"Two or more urgent care center or retail health clinic visits","Black only","8.4","5.6, 11.9","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""","2020"
"Two or more urgent care center or retail health clinic visits","American Indian or Alaska Native only","999",,"Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""","2020"
"Two or more urgent care center or retail health clinic visits","Asian only","5.8","3.3,  9.5","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""","2020"
"Two or more urgent care center or retail health clinic visits","Native Hawaiian or Other Pacific Islander only","999",,"Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""","2020"
"Two or more urgent care center or retail health clinic visits","Black and White","12.8","6.1, 22.7","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""","2020"
"Two or more urgent care center or retail health clinic visits","American Indian and Alaska Native and White","14","6.8, 24.4","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""","2020"
"Two or more urgent care center or retail health clinic visits","Hispanic","8.8","6.9, 11.1","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""","2020"
"Two or more urgent care center or retail health clinic visits","Non-Hispanic","10.2","9.0, 11.5","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""","2020"
"Two or more urgent care center or retail health clinic visits","Mexican or Mexican American","8.5","6.1, 11.6","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""","2020"
"Two or more urgent care center or retail health clinic visits","White only, non-Hispanic","10.8","9.5, 12.3","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""","2020"
"Two or more urgent care center or retail health clinic visits","Black only, non-Hispanic","8.4","5.5, 12.1","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""","2020"
"Two or more urgent care center or retail health clinic visits","Other race, non-Hispanic","9.4","6.7, 12.7","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""","2020"
"Two or more urgent care center or retail health clinic visits","Single parent, never married","11.7","8.2, 15.9","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""","2020"
"Two or more urgent care center or retail health clinic visits","Single parent, ever married","11.6","8.9, 14.8","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""","2020"
"Two or more urgent care center or retail health clinic visits","Married parents","8.9","7.7, 10.2","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""","2020"
"Two or more urgent care center or retail health clinic visits","Cohabiting parents","9.6","5.7, 14.9","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""","2020"
